file,band_lo_hz,band_hi_hz,band_label,band_tag,rt60_s,r2,method,quality,capped,mode
Drum clap.m4a,1414.2135623730949,2828.42712474619,,1k–2k,0.8285879228401091,0.9939838065687828,REG,OK,False,ML Test · Reference Octaves
Drum clap.m4a,2828.4271247461897,5656.85424949238,,2k–5k,0.8724009940339922,0.9723705707301682,REG,OK,False,ML Test · Reference Octaves
Drum clap.m4a,5656.8542494923795,11313.70849898476,,5k–11k,0.732584297238131,0.9844889381286116,REG,OK,False,ML Test · Reference Octaves
Drum clap.m4a,11313.708498984759,22627.41699796952,,11k–22k,3.7570125,0.25868384865664656,REG,CHECK,True,ML Test · Reference Octaves
Drum lol.m4a,22.273863607376246,44.5477272147525,,22–45,0.1439278427011476,0.8299465505823217,REG,CHECK,False,ML Test · Reference Octaves
Drum lol.m4a,44.54772721475249,89.095454429505,,45–89,4.631507291666667,0.979069969177408,REG,OK,True,ML Test · Reference Octaves
Drum lol.m4a,88.38834764831843,176.7766952966369,,88–177,1.9551004204036693,0.8897113065574922,REG,CHECK,False,ML Test · Reference Octaves
Drum lol.m4a,176.77669529663686,353.5533905932738,,177–354,1.4721073775937303,0.8257708917330182,REG,CHECK,False,ML Test · Reference Octaves
Drum lol.m4a,353.5533905932737,707.1067811865476,,354–707,1.485675611207503,0.8173361606043421,REG,CHECK,False,ML Test · Reference Octaves
Drum lol.m4a,707.1067811865474,1414.213562373095,,707–1k,1.6121982471537817,0.9300491946195859,REG,OK,False,ML Test · Reference Octaves
Drum lol.m4a,1414.2135623730949,2828.42712474619,,1k–2k,1.6389601309321,0.9202343098995385,REG,OK,False,ML Test · Reference Octaves
Drum lol.m4a,2828.4271247461897,5656.85424949238,,2k–5k,2.119650852754491,0.9102194967794454,REG,OK,False,ML Test · Reference Octaves
Drum lol.m4a,5656.8542494923795,11313.70849898476,,5k–11k,4.2233833333333335,0.8610080230564306,REG,CHECK,True,ML Test · Reference Octaves
Drum lol.m4a,11313.708498984759,22627.41699796952,,11k–22k,3.0853229166666662,0.9441560224451443,REG,OK,True,ML Test · Reference Octaves
Drum test 1.m4a,22.273863607376246,44.5477272147525,,22–45,3.9957197916666667,0.9750209235363002,REG,OK,True,ML Test · Reference Octaves
Drum test 1.m4a,44.54772721475249,89.095454429505,,45–89,0.13838333333333333,0.7945390189250718,REG,CHECK,True,ML Test · Reference Octaves
Drum test 1.m4a,88.38834764831843,176.7766952966369,,88–177,3.978045833333333,0.58890180349249,REG,CHECK,True,ML Test · Reference Octaves
Drum test 1.m4a,176.77669529663686,353.5533905932738,,177–354,3.9910093749999995,0.6086281682280752,REG,CHECK,True,ML Test · Reference Octaves
Drum test 1.m4a,353.5533905932737,707.1067811865476,,354–707,2.1627908548820916,0.812470906446662,REG,CHECK,False,ML Test · Reference Octaves
Drum test 1.m4a,707.1067811865474,1414.213562373095,,707–1k,0.7957273300318025,0.9963610411657139,REG,OK,False,ML Test · Reference Octaves
Drum test 1.m4a,1414.2135623730949,2828.42712474619,,1k–2k,0.7790306930164341,0.988783942942446,REG,OK,False,ML Test · Reference Octaves
Drum test 1.m4a,2828.4271247461897,5656.85424949238,,2k–5k,1.0225912296333293,0.9204192959887801,REG,OK,False,ML Test · Reference Octaves
Drum test 1.m4a,5656.8542494923795,11313.70849898476,,5k–11k,3.9756312499999997,0.6014195053428483,REG,CHECK,True,ML Test · Reference Octaves
Drum test 1.m4a,11313.708498984759,22627.41699796952,,11k–22k,3.9747604166666664,0.7891135448857202,REG,CHECK,True,ML Test · Reference Octaves
Drum test 2.m4a,22.273863607376246,44.5477272147525,,22–45,,,NA,LOW,False,ML Test · Reference Octaves
Drum test 2.m4a,44.54772721475249,89.095454429505,,45–89,3.2430624999999997,0.9207466752932989,REG,OK,True,ML Test · Reference Octaves
Drum test 2.m4a,88.38834764831843,176.7766952966369,,88–177,3.2554125,0.7019837374414949,REG,CHECK,True,ML Test · Reference Octaves
Drum test 2.m4a,176.77669529663686,353.5533905932738,,177–354,3.269682291666667,0.7008457093219086,REG,CHECK,True,ML Test · Reference Octaves
Drum test 2.m4a,353.5533905932737,707.1067811865476,,354–707,3.22584317393273,0.6978681722477929,REG,CHECK,False,ML Test · Reference Octaves
Drum test 2.m4a,707.1067811865474,1414.213562373095,,707–1k,0.7860702643014273,0.99698052467925,REG,OK,False,ML Test · Reference Octaves
Drum test 2.m4a,1414.2135623730949,2828.42712474619,,1k–2k,0.7850683276726513,0.9939232570425957,REG,OK,False,ML Test · Reference Octaves
Drum test 2.m4a,2828.4271247461897,5656.85424949238,,2k–5k,3.2553135416666663,0.5051281691867375,REG,CHECK,True,ML Test · Reference Octaves
Drum test 2.m4a,5656.8542494923795,11313.70849898476,,5k–11k,3.257589583333333,0.6171320436587759,REG,CHECK,True,ML Test · Reference Octaves
Drum test 2.m4a,11313.708498984759,22627.41699796952,,11k–22k,3.2527999999999997,0.8037640766702197,REG,CHECK,True,ML Test · Reference Octaves
Drum test 3.m4a,22.273863607376246,44.5477272147525,,22–45,3.349383333333333,0.9212485257674743,REG,OK,True,ML Test · Reference Octaves
Drum test 3.m4a,44.54772721475249,89.095454429505,,45–89,3.2932541666666664,0.8574518849900894,REG,CHECK,True,ML Test · Reference Octaves
Drum test 3.m4a,88.38834764831843,176.7766952966369,,88–177,3.3355291666666664,0.8677605999061216,REG,CHECK,True,ML Test · Reference Octaves
Drum test 3.m4a,176.77669529663686,353.5533905932738,,177–354,3.335370833333333,0.6907918168536764,REG,CHECK,True,ML Test · Reference Octaves
Drum test 3.m4a,353.5533905932737,707.1067811865476,,354–707,1.2190606801666553,0.9455209648956265,REG,OK,False,ML Test · Reference Octaves
Drum test 3.m4a,707.1067811865474,1414.213562373095,,707–1k,0.8259993684954964,0.9962696927527771,REG,OK,False,ML Test · Reference Octaves
Drum test 3.m4a,1414.2135623730949,2828.42712474619,,1k–2k,0.7999615057897419,0.9976840994787884,REG,OK,False,ML Test · Reference Octaves
Drum test 3.m4a,2828.4271247461897,5656.85424949238,,2k–5k,0.7994087961437862,0.9795464235680214,REG,OK,False,ML Test · Reference Octaves
Drum test 3.m4a,5656.8542494923795,11313.70849898476,,5k–11k,3.3218135416666668,0.5196897866791266,REG,CHECK,True,ML Test · Reference Octaves
Drum test 3.m4a,11313.708498984759,22627.41699796952,,11k–22k,3.333015625,0.5672349443597476,REG,CHECK,True,ML Test · Reference Octaves
